Bean/blend name,bean_name_norm,Origin,origin_norm,Roast level,roast_group,Cost per 100 g,price_level,Rating,Tasting notes,tasting_notes_clean,tasting_keywords,Currency,Roaster's country
Bank Robber,bank robber,Blend,blend,4.0,medium,6.01,medium,8.0,unknown,unknown,['unknown'],USD ($),United States
Eclipse,eclipse,Blend,blend,5.0,medium,unknown,unknown,7.0,"Chocolate, nuts, low acidity","acidity, chocolate, low acidity","['acidity', 'chocolate', 'low acidity']",$,United States
Christmas in July,christmas in july,Blend,blend,4.0,medium,unknown,unknown,3.0,unknown,unknown,['unknown'],$,United States
The Classic,the classic,Blend,blend,5.0,medium,6.18,medium,5.0,"Dark cherry, chocolate finish","cherry, chocolate, dark cherry","['cherry', 'chocolate', 'dark cherry']",USD ($),United States
Honduras Comsa,honduras comsa,Honduras,honduras,4.0,medium,5.0,medium,10.0,"Strong, creamy hazelnut flavor, floral finish",hazelnut,['hazelnut'],USD ($),United States
Worka Sakaro,worka sakaro,Ethiopia,ethiopia,3.0,light,7.06,medium,6.0,"Strong berry flavor, pleasant acidity, lingering chocolate finish","acidity, berry, chocolate","['acidity', 'berry', 'chocolate']",USD ($),United States
La Candelilla,la candelilla,Costa Rica,costa rica,3.0,light,unknown,unknown,4.0,unknown,unknown,['unknown'],USD ($),United States
Diego Bermudez Y07,diego bermudez y07,Colombia,colombia,3.0,light,unknown,unknown,5.0,Mixed fruit with mild florality,fruit,['fruit'],$,United States
Death By Sidra,death by sidra,Colombia,colombia,3.0,light,5.88,medium,6.0,unknown,unknown,['unknown'],USD ($),United States
The House That Gesha Built,the house that gesha built,Blend,blend,2.0,light,unknown,unknown,6.0,unknown,unknown,['unknown'],$,United States
Ratnagiri Estate White Flowers,ratnagiri estate white flowers,India,india,2.0,light,unknown,unknown,10.0,"Light white florals, almost sugary sweetness",sweet,['sweet'],$,United States
Esteban Zamora Cinammon Anaerobic,esteban zamora cinammon anaerobic,Costa Rica,costa rica,4.0,medium,unknown,unknown,9.0,unknown,unknown,['unknown'],$,United States
San Diego,san diego,Costa Rica,costa rica,4.0,medium,5.88,medium,9.0,"cinnamon (like a ton of cinnamon), chocolate",chocolate,['chocolate'],USD ($),United States
Peaberry,peaberry,Brazil,brazil,3.0,light,3.3,cheap,8.0,Chocolate and caramel with nutty and fruity undertones,"caramel, chocolate, fruit, fruity, nutty","['caramel', 'chocolate', 'fruit', 'fruity', 'nutty']",USD ($),United States
NESRU ABA NURA,nesru aba nura,Ethiopia,ethiopia,3.0,light,unknown,unknown,7.0,unknown,unknown,['unknown'],$,United States
Indian Malabar AA,indian malabar aa,India,india,4.0,medium,3.53,cheap,8.0,"Cardamom, Graham, Bakers Spice, Rich and soothing finish",rich,['rich'],USD ($),United States
